Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
201906,ABC Aerolineas S.A. de C.V. dba Interjet,4O,ABC Aerolineas S.A. de C.V. dba Interjet,4O,International,Mexico,Enplaned,Other,International,A,6487
201906,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Deplaned,Other,International,G,8762
201906,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Enplaned,Other,International,G,9168
201906,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,A,16236
201906,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,18418
201906,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,G,44940
201906,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,G,53186
201906,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,12206
201906,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,13464
201906,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,21786
201906,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,22383
201906,Air India Limited,AI,Air India Limited,AI,International,Asia,Deplaned,Other,International,G,8647
201906,Air India Limited,AI,Air India Limited,AI,International,Asia,Enplaned,Other,International,G,9158
201906,Air Italy S.P.A,IG,Air Italy S.P.A,IG,International,Europe,Deplaned,Other,International,A,2498
201906,Air Italy S.P.A,IG,Air Italy S.P.A,IG,International,Europe,Enplaned,Other,International,A,3178
201906,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,6763
201906,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,6444
